Player,Squad,Pos,Min,Min_num,low_min_flag,mf_post,mf_post_proba,mf_post_stage1,mf_post_stage1_proba,p_DM,p_NON_DM,mf_post_stage2,mf_post_stage2_proba,p_CM,p_AM
Vitaly Janelt,brentford,MF,2254,2254,False,DM,0.9999904716908123,DM,0.9999904716908123,0.9999904716908123,9.528308187630603e-06,,,,
Yehor Yarmoliuk,brentford,MF,1450,1450,False,DM,0.9999965341045424,DM,0.9999965341045424,0.9999965341045424,3.465894457548486e-06,,,,
Billy Gilmour,brighton,MF,98,98,True,AM,0.9053937948681275,NON_DM,0.9992511909576673,0.0007488090413331236,0.9992511909576673,AM,0.9053937948681275,0.09460620513092415,0.9053937948681275
Carlos Baleba,brighton,MF,2661,2661,False,DM,0.9999999965199153,DM,0.9999999965199153,0.9999999965199153,3.4790845678837616e-09,,,,
Diego Gómez,brighton,MF,516,516,True,CM,0.9994058852938218,NON_DM,0.7569333312733114,0.24306666872578833,0.7569333312733114,CM,0.9994058852938218,0.9994058852938218,0.0005941147051785721
Jakub Moder,brighton,MF,11,11,True,AM,0.9999999999989999,NON_DM,0.9999999999989999,0.0,0.9999999999989999,AM,0.9999999999989999,0.0,0.9999999999989999
James Milner,brighton,MF,170,170,True,CM,0.9998224933027122,NON_DM,0.9873027666077708,0.012697233391238343,0.9873027666077708,CM,0.9998224933027122,0.9998224933027122,0.0001775066962878392
Jeremy Sarmiento,brighton,MF,9,9,True,AM,0.9999999998899982,NON_DM,0.9623593307525306,0.037640669246493716,0.9623593307525306,AM,0.9999999998899982,1.0900173607384923e-10,0.9999999998899982
Matt O'Riley,brighton,MF,938,938,False,AM,0.9999941374810993,NON_DM,0.9999999906927226,9.306277406621921e-09,0.9999999906927226,AM,0.9999941374810993,5.862517900501099e-06,0.9999941374810993
Yasin Ayari,brighton,MF,1965,1965,False,DM,0.9388960797722432,DM,0.9388960797722432,0.9388960797722432,0.06110392022679307,,,,
Enzo Fernández,chelsea,MF,2947,2947,False,AM,0.9990998532925995,NON_DM,0.9999999999929228,6.077115232447471e-12,0.9999999999929228,AM,0.9990998532925995,0.0009001467064012436,0.9990998532925995
Mathis Amougou,chelsea,MF,8,8,True,AM,0.9999999928102329,NON_DM,0.9989475544057399,0.0010524455932609375,0.9989475544057399,AM,0.9999999928102329,7.188766958943578e-09,0.9999999928102329
Roméo Lavia,chelsea,MF,797,797,True,DM,0.9999999993506208,DM,0.9999999993506208,0.9999999993506208,6.483790171842097e-10,,,,
Shumaira Mheuka,chelsea,MF,1,1,True,AM,0.9999999999989999,NON_DM,0.9975564704305079,0.002443529568494,0.9975564704305079,AM,0.9999999999989999,0.0,0.9999999999989999
Adam Wharton,crystal palace,MF,1318,1318,False,DM,0.957231731527503,DM,0.957231731527503,0.957231731527503,0.042768268471524,,,,
Asher Agbinone,crystal palace,MF,6,6,True,AM,0.9999999999989999,NON_DM,0.9999999999989999,2.288963275856348e-96,0.9999999999989999,AM,0.9999999999989999,0.0,0.9999999999989999
Cheick Doucouré,crystal palace,MF,452,452,True,DM,0.9999999999989055,DM,0.9999999999989055,0.9999999999989055,9.443496462563436e-14,,,,
Daichi Kamada,crystal palace,MF,1564,1564,False,DM,0.9994542905153793,DM,0.9994542905153793,0.9994542905153793,0.0005457094836211981,,,,
Justin Devenny,crystal palace,MF,507,507,True,DM,0.9622363708855611,DM,0.9622363708855611,0.9622363708855611,0.03776362911346305,,,,
Romain Esse,crystal palace,MF,138,138,True,AM,0.999999997571509,NON_DM,0.9999999999986131,3.868326903262887e-13,0.9999999999986131,AM,0.999999997571509,2.427490864153098e-09,0.999999997571509
Will Hughes,crystal palace,MF,2108,2108,False,DM,0.9982674698403299,DM,0.9982674698403299,0.9982674698403299,0.0017325301586715847,,,,
Abdoulaye Doucouré,everton,MF,2564,2564,False,DM,0.9129503416327658,DM,0.9129503416327658,0.9129503416327658,0.08704965836628258,,,,
Harrison Armstrong,everton,MF,48,48,True,AM,0.9999999999989999,NON_DM,0.9999870308805926,1.2969118407470246e-05,0.9999870308805926,AM,0.9999999999989999,2.774717317347837e-45,0.9999999999989999
Idrissa Gana Gueye,everton,MF,3063,3063,False,DM,0.9999999974238807,DM,0.9999999974238807,0.9999999974238807,2.575119293053024e-09,,,,
Orel Mangala,everton,MF,1261,1261,False,DM,0.9999997404938558,DM,0.9999997404938558,0.9999997404938558,2.595051441052207e-07,,,,
Tim Iroegbunam,everton,MF,574,574,True,DM,0.9999999999989975,DM,0.9999999999989975,0.9999999999989975,2.3619108227942163e-15,,,,
Andreas Pereira,fulham,MF,2013,2013,False,AM,0.9999970280779588,NON_DM,0.9999999999980995,9.002866175822475e-13,0.9999999999980995,AM,0.9999970280779588,2.971921041067279e-06,0.9999970280779588
Emile Smith Rowe,fulham,MF,2043,2043,False,CM,0.9999498953247373,NON_DM,0.9893047375701247,0.010695262428883067,0.9893047375701247,CM,0.9999498953247373,0.9999498953247373,5.010467426257758e-05
Harrison Reed,fulham,MF,108,108,True,CM,0.9832651049382364,NON_DM,0.9999931936453759,6.806353624031865e-06,0.9999931936453759,CM,0.9832651049382364,0.9832651049382364,0.0167348950607754
Jay Stansfield,fulham,MF,1,1,True,AM,0.9999999997744103,NON_DM,0.9971433726024852,0.002856627396517022,0.9971433726024852,AM,0.9999999997744103,2.2458966933949003e-10,0.9999999997744103
Joshua King,fulham,MF,130,130,True,AM,0.9999999999989999,NON_DM,0.9999999999989999,5.168891388495193e-39,0.9999999999989999,AM,0.9999999999989999,7.224474936344425e-29,0.9999999999989999
Sander Berge,fulham,MF,2224,2224,False,DM,0.9999993471452018,DM,0.9999993471452018,0.9999993471452018,6.528537981676381e-07,,,,
Saša Lukić,fulham,MF,2344,2344,False,DM,0.9999954148811135,DM,0.9999954148811135,0.9999954148811135,4.5851178863484925e-06,,,,
Tom Cairney,fulham,MF,628,628,True,CM,0.8876362991481632,NON_DM,0.9999999999989975,2.535200371129027e-15,0.9999999999989975,CM,0.8876362991481632,0.8876362991481632,0.11236370085089592
Jack Taylor,ipswich town,MF,860,860,True,DM,0.9999983229539108,DM,0.9999983229539108,0.9999983229539108,1.6770450890800325e-06,,,,
Jens Cajuste,ipswich town,MF,1959,1959,False,DM,0.9999999345211784,DM,0.9999999345211784,0.9999999345211784,6.547782152817839e-08,,,,
Kalvin Phillips,ipswich town,MF,1237,1237,False,DM,0.9999999970648301,DM,0.9999999970648301,0.9999999970648301,2.9341697835817705e-09,,,,
Marcus Harness,ipswich town,MF,45,45,True,AM,0.9999999999971183,NON_DM,0.9999999998217807,1.7721931576441723e-10,0.9999999998217807,AM,0.9999999999971183,1.88170337727448e-12,0.9999999999971183
Massimo Luongo,ipswich town,MF,201,201,True,DM,0.9999999936367029,DM,0.9999999936367029,0.9999999936367029,6.362297067480683e-09,,,,
Sam Morsy,ipswich town,MF,2751,2751,False,DM,0.9999996750060013,DM,0.9999996750060013,0.9999996750060013,3.249929985999817e-07,,,,
Boubakary Soumaré,leicester city,MF,2171,2171,False,DM,0.9999999392277577,DM,0.9999999392277577,0.9999999392277577,6.077124232464409e-08,,,,
Harry Winks,leicester city,MF,1538,1538,False,DM,0.9984380187455805,DM,0.9984380187455805,0.9984380187455805,0.0015619812534206081,,,,
Michael Golding,leicester city,MF,1,1,True,AM,0.9999999997744103,NON_DM,0.9971433726024852,0.002856627396517022,0.9971433726024852,AM,0.9999999997744103,2.2458966933949003e-10,0.9999999997744103
Oliver Skipp,leicester city,MF,1129,1129,False,DM,0.9999987222905424,DM,0.9999987222905424,0.9999987222905424,1.2777084573887396e-06,,,,
Wilfred Ndidi,leicester city,MF,2324,2324,False,DM,0.9999999385258451,DM,0.9999999385258451,0.9999999385258451,6.147315474349712e-08,,,,
Alexis Mac Allister,liverpool,MF,2599,2599,False,CM,0.9999603414727506,NON_DM,0.9999457539800092,5.4246018990699443e-05,0.9999457539800092,CM,0.9999603414727506,0.9999603414727506,3.965852624932847e-05
Dominik Szoboszlai,liverpool,MF,2491,2491,False,AM,0.9999996087122995,NON_DM,0.999999999993843,5.156911850356225e-12,0.999999999993843,AM,0.9999996087122995,3.91286700322668e-07,0.9999996087122995
Harvey Elliott,liverpool,MF,371,371,True,AM,0.9999999999989999,NON_DM,0.9999999999989999,1.364049033167396e-23,0.9999999999989999,AM,0.9999999999989999,3.514612373429068e-33,0.9999999999989999
Jayden Danns,liverpool,MF,11,11,True,AM,0.9999999999987428,NON_DM,0.9995805894539319,0.00041941054506842827,0.9995805894539319,AM,0.9999999999987428,2.571412085311665e-13,0.9999999999987428
Ryan Gravenberch,liverpool,MF,3160,3160,False,DM,0.9999995911819404,DM,0.9999995911819404,0.9999995911819404,4.0881705943455093e-07,,,,
Mateo Kovačić,manchester city,MF,2198,2198,False,CM,0.9999998886396586,NON_DM,0.9999898525084981,1.0147490501681667e-05,0.9999898525084981,CM,0.9999998886396586,0.9999998886396586,1.1135934121282485e-07
Nicolás González,manchester city,MF,760,760,True,DM,0.9689784593476127,DM,0.9689784593476127,0.9689784593476127,0.031021540651407813,,,,
Rodri,manchester city,MF,73,73,True,CM,0.9999654743498902,NON_DM,0.9999998410689591,1.589300409060019e-07,0.9999998410689591,CM,0.9999654743498902,0.9999654743498902,3.452564910966939e-05
İlkay Gündoğan,manchester city,MF,2223,2223,False,CM,0.9975905409853479,NON_DM,0.9999999999951784,3.821503255481307e-12,0.9999999999951784,CM,0.9975905409853479,0.9975905409853479,0.002409459013653946
Bruno Fernandes,manchester utd,MF,3018,3018,False,AM,0.9999999999989999,NON_DM,0.9999999999989999,1.9708123225173462e-17,0.9999999999989999,AM,0.9999999999989999,1.1408969151626682e-20,0.9999999999989999
Casemiro,manchester utd,MF,1494,1494,False,DM,0.992901782805986,DM,0.992901782805986,0.992901782805986,0.0070982171930193735,,,,
Christian Eriksen,manchester utd,MF,1061,1061,False,AM,0.9999833736895438,NON_DM,0.9999999999988307,1.6927107781247705e-13,0.9999999999988307,AM,0.9999833736895438,1.662630945620659e-05,0.9999833736895438
Kobbie Mainoo,manchester utd,MF,1651,1651,False,DM,0.9992021596235497,DM,0.9992021596235497,0.9992021596235497,0.0007978403754508102,,,,
Manuel Ugarte,manchester utd,MF,1785,1785,False,DM,0.9999999992780922,DM,0.9999999992780922,0.9999999992780922,7.209077239946261e-10,,,,
Mason Mount,manchester utd,MF,622,622,True,AM,0.9999999991032786,NON_DM,0.99986352065674,0.0001364793422599872,0.99986352065674,AM,0.9999999991032786,8.957211927415766e-10,0.9999999991032786
Scott McTominay,manchester utd,MF,19,19,True,AM,0.9999999999989999,NON_DM,0.6020400346149706,0.39795996538415424,0.6020400346149706,AM,0.9999999999989999,1.7043969713276107e-31,0.9999999999989999
Toby Collyer,manchester utd,MF,179,179,True,DM,0.9999573521750638,DM,0.9999573521750638,0.9999573521750638,4.26478239360676e-05,,,,
Bruno Guimarães,newcastle utd,MF,3271,3271,False,CM,0.9999659711605501,NON_DM,0.9821523114270618,0.01784768857195068,0.9821523114270618,CM,0.9999659711605501,0.9999659711605501,3.402883844982033e-05
Lewis Miley,newcastle utd,MF,313,313,True,DM,0.9991589808273196,DM,0.9991589808273196,0.9991589808273196,0.0008410191716809838,,,,
Sandro Tonali,newcastle utd,MF,2630,2630,False,DM,0.9993125053893783,DM,0.9993125053893783,0.9993125053893783,0.0006874946096221966,,,,
Sean Longstaff,newcastle utd,MF,798,798,True,DM,0.9999950744264293,DM,0.9999950744264293,0.9999950744264293,4.925572570461084e-06,,,,
Elliot Anderson,nott'ham forest,MF,2728,2728,False,DM,0.9717852734528459,DM,0.9717852734528459,0.9717852734528459,0.028214726546172925,,,,
Ibrahim Sangaré,nott'ham forest,MF,590,590,True,DM,0.9999999906695193,DM,0.9999999906695193,0.9999999906695193,9.329480632002109e-09,,,,
James Ward-Prowse,nott'ham forest,MF,400,400,True,DM,0.9667307718692135,DM,0.9667307718692135,0.9667307718692135,0.03326922812980832,,,,
Morgan Gibbs-White,nott'ham forest,MF,2803,2803,False,CM,0.987862295627797,NON_DM,0.9999968739497282,3.126049271532397e-06,0.9999968739497282,CM,0.987862295627797,0.987862295627797,0.012137704371211866
Ryan Yates,nott'ham forest,MF,1915,1915,False,DM,0.9999984743136402,DM,0.9999984743136402,0.9999984743136402,1.5256853597848516e-06,,,,
Adam Lallana,southampton,MF,361,361,True,DM,0.9905256434441584,DM,0.9905256434441584,0.9905256434441584,0.009474356554848622,,,,
Carlos Alcaraz,southampton,MF,10,10,True,AM,0.9999999999989999,NON_DM,0.9999999999989999,2.0414194523519125e-115,0.9999999999989999,AM,0.9999999999989999,0.0,0.9999999999989999
Flynn Downes,southampton,MF,2151,2151,False,DM,0.9999999784107755,DM,0.9999999784107755,0.9999999784107755,2.1588224352135846e-08,,,,
Lesley Ugochukwu,southampton,MF,1655,1655,False,DM,0.9999980428401525,DM,0.9999980428401525,0.9999980428401525,1.957158847528581e-06,,,,
Mateus Fernandes,southampton,MF,2909,2909,False,DM,0.9894754715949242,DM,0.9894754715949242,0.9894754715949242,0.01052452840408354,,,,
William Smallbone,southampton,MF,690,690,True,CM,0.9999649794973198,NON_DM,0.9233604900838084,0.07663950991523547,0.9233604900838084,CM,0.9999649794973198,0.9999649794973198,3.502050168014759e-05
James Maddison,tottenham,MF,1809,1809,False,AM,0.9999999999769663,NON_DM,0.9999999999989999,4.968463462267867e-18,0.9999999999989999,AM,0.9999999999769663,2.2033662220411704e-11,0.9999999999769663
Lucas Bergvall,tottenham,MF,1212,1212,False,DM,0.9999994875658533,DM,0.9999994875658533,0.9999994875658533,5.124331465549911e-07,,,,
Pape Matar Sarr,tottenham,MF,1913,1913,False,DM,0.9999997707713493,DM,0.9999997707713493,0.9999997707713493,2.2922765069509757e-07,,,,
Rodrigo Bentancur,tottenham,MF,1645,1645,False,DM,0.9999999999885233,DM,0.9999999999885233,0.9999999999885233,1.0476605841548637e-11,,,,
Yves Bissouma,tottenham,MF,1408,1408,False,DM,0.9999999947555712,DM,0.9999999947555712,0.9999999947555712,5.243428677971759e-09,,,,
Andy Irving,west ham,MF,166,166,True,DM,0.9999807048087995,DM,0.9999807048087995,0.9999807048087995,1.9295190200409893e-05,,,,
Edson Álvarez,west ham,MF,1772,1772,False,DM,0.9999986195844975,DM,0.9999986195844975,0.9999986195844975,1.3804145024112665e-06,,,,
Guido Rodríguez,west ham,MF,1149,1149,False,DM,0.9999999955963154,DM,0.9999999955963154,0.9999999955963154,4.402684500648532e-09,,,,
James Ward-Prowse,west ham,MF,1039,1039,False,CM,0.9999992206954733,NON_DM,0.9998693763369249,0.00013062366207530212,0.9998693763369249,CM,0.9999992206954733,0.9999992206954733,7.793035265202167e-07
Lewis Orford,west ham,MF,49,49,True,AM,0.9999999999989999,NON_DM,0.9999999999752885,2.371146160481267e-11,0.9999999999752885,AM,0.9999999999989999,3.5792699873228376e-26,0.9999999999989999
Tomáš Souček,west ham,MF,2567,2567,False,DM,0.9973833216088389,DM,0.9973833216088389,0.9973833216088389,0.002616678390163274,,,,
André,wolves,MF,2472,2472,False,DM,0.9999999965552498,DM,0.9999999965552498,0.9999999965552498,3.4437501171489114e-09,,,,
Boubacar Traoré,wolves,MF,1,1,True,AM,0.9999999994915758,NON_DM,0.9614336103371026,0.038566389661921954,0.9614336103371026,AM,0.9999999994915758,5.074240787435893e-10,0.9999999994915758
Chiquinho,wolves,MF,7,7,True,AM,0.9999999999989999,NON_DM,0.9999999999989999,5.76372230176937e-102,0.9999999999989999,AM,0.9999999999989999,0.0,0.9999999999989999
João Gomes,wolves,MF,2974,2974,False,DM,0.9999812305914664,DM,0.9999812305914664,0.9999812305914664,1.876940753351299e-05,,,,
Mateus Mane,wolves,MF,2,2,True,AM,0.999999999666161,NON_DM,0.9661614043316981,0.03383859566732409,0.9661614043316981,AM,0.999999999666161,3.3283889886559497e-10,0.999999999666161
Tommy Doyle,wolves,MF,488,488,True,CM,0.9989578172560952,NON_DM,0.9158955074176773,0.08410449258136976,0.9158955074176773,CM,0.9989578172560952,0.9989578172560952,0.0010421827429054973
